kabupaten_kota,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024
Kota Medan,78.87,79.34,79.98,80.65,80.97,80.98,81.21,81.76,82.19,82.76
Kota Metro,75.1,75.45,75.87,76.22,76.77,77.19,77.49,77.89,78.36,78.93
Kota Mojokerto,75.54,76.38,76.77,77.14,77.96,78.04,78.43,79.32,80.07,80.92
Kota Padang,80.36,81.06,81.58,82.25,82.68,82.82,82.9,83.29,83.58,83.99
Kota Padang Panjang,75.98,76.5,77.01,77.3,78.0,77.93,77.97,78.78,79.26,80.17
Kota Padangsidimpuan,72.8,73.42,73.81,74.38,75.06,75.22,75.48,76.05,76.44,76.96
Kota Pagar Alam,65.37,65.96,66.81,67.62,68.44,68.31,68.68,69.6,70.45,71.19
Kota Palangka Raya,78.62,79.21,79.69,80.34,80.77,80.77,80.82,81.16,81.68,82.2
Kota Palembang,76.29,76.59,77.22,77.89,78.44,78.33,78.72,79.47,80.02,80.57
Kota Palopo,76.27,76.45,76.71,77.3,77.98,78.06,78.38,78.91,79.45,79.94
Kota Palu,79.63,79.73,80.24,80.91,81.5,81.47,81.7,82.02,82.52,82.88
Kota Pangkal Pinang,76.61,76.73,76.86,77.43,77.97,78.22,78.57,79.24,79.93,80.4
Kota Parepare,76.31,76.48,76.68,77.19,77.62,77.86,78.21,78.54,79.03,79.64
Kota Pariaman,74.98,75.44,75.71,76.26,76.7,76.9,77.07,77.65,78.13,78.88
Kota Pasuruan,73.78,74.11,74.39,74.78,75.25,75.26,75.62,76.54,77.17,77.75
Kota Payakumbuh,77.42,77.56,77.91,78.23,78.95,78.9,79.08,79.53,79.97,80.61
Kota Pekalongan,72.69,73.32,73.77,74.24,74.77,74.98,75.4,75.9,76.71,77.22
Kota Pekanbaru,79.32,79.69,79.97,80.66,81.35,81.32,81.58,82.06,82.38,82.89
Kota Pematang Siantar,76.34,76.9,77.54,77.88,78.57,78.75,79.17,79.7,80.46,81.17
Kota Pontianak,77.52,77.63,77.93,78.56,79.35,79.44,79.93,80.48,81.03,81.57
Kota Prabumulih,73.19,73.38,73.58,74.04,74.4,74.55,74.67,75.52,76.46,77.08
Kota Probolinggo,71.01,71.5,72.09,72.53,73.27,73.27,73.66,74.56,75.43,76.27
Kota Sabang,72.51,73.36,74.1,74.82,75.77,75.78,76.11,76.85,77.52,78.32
Kota Salatiga,80.96,81.14,81.68,82.41,83.12,83.14,83.6,84.35,84.99,85.72
Kota Samarinda,78.69,78.91,79.46,79.93,80.2,80.11,80.76,81.43,82.32,82.81
Kota Sawah Lunto,69.87,70.67,71.13,71.72,72.39,72.64,72.88,73.73,74.42,75.13
Kota Semarang,80.23,81.19,82.01,82.72,83.19,83.05,83.55,84.08,84.43,85.25
Kota Serang,70.51,71.09,71.31,71.68,72.1,72.16,72.44,72.98,73.48,73.99
Kota Sibolga,71.64,72.0,72.28,72.65,73.41,73.63,73.94,74.74,75.2,75.66
Kota Singkawang,70.03,70.1,70.25,71.08,71.72,71.94,72.11,72.89,73.39,73.87
Kota Solok,76.83,77.07,77.44,77.89,78.38,78.29,78.41,79.23,79.58,80.0
Kota Sorong,75.91,76.33,76.73,77.35,77.98,78.45,78.49,78.98,79.65,79.93
Kota Subulussalam,61.32,62.18,62.88,63.48,64.46,64.93,65.27,66.2,67.1,68.04
Kota Sukabumi,71.84,72.33,73.03,73.55,74.31,74.21,74.6,75.4,76.32,76.85
Kota Sungai Penuh,73.03,73.35,73.75,74.67,75.36,75.42,75.7,76.17,76.65,77.4
Kota Surabaya,79.47,80.38,81.07,81.74,82.22,82.23,82.31,82.74,83.45,84.14
Kota Surakarta,80.14,80.76,80.85,81.46,81.86,82.21,82.62,83.08,83.54,84.4
Kota Tangerang,76.08,76.81,77.01,77.92,78.43,78.25,78.5,78.9,79.46,80.02
Kota Tangerang Selatan,79.38,80.11,80.84,81.17,81.48,81.36,81.6,81.95,82.28,82.89
Kota Tanjung Balai,66.74,67.09,67.41,68.0,68.51,68.65,68.94,69.86,70.59,71.1
Kota Tanjung Pinang,77.57,77.77,78.0,78.33,78.73,78.91,78.93,79.64,80.23,80.63
Kota Tarakan,74.7,74.88,75.27,75.69,76.09,75.83,76.23,76.68,77.53,77.96
Kota Tasikmalaya,69.99,70.58,71.51,72.03,72.84,73.04,73.31,73.83,74.47,75.04
Kota Tebing Tinggi,72.81,73.58,73.9,74.5,75.08,75.17,75.42,76.17,76.98,77.45
Kota Tegal,72.96,73.55,73.95,74.44,74.93,75.07,75.52,76.15,77.02,77.43
Kota Ternate,77.64,77.8,78.48,79.13,80.03,79.82,80.14,80.81,81.35,82.12
Kota Tidore Kepulauan,67.45,68.37,69.25,69.89,70.83,70.53,70.99,71.55,72.4,72.91
Kota Tomohon,74.36,74.91,75.34,75.78,76.67,76.69,76.86,77.44,78.1,78.89
Kota Tual,65.2,65.64,66.25,67.21,67.74,67.96,68.16,68.6,69.43,70.21
Kota Yogyakarta,84.56,85.32,85.49,86.11,86.65,86.61,87.18,87.69,88.28,88.77
Kotawaringin Barat,70.6,71.13,72.11,72.46,72.85,72.87,73.07,73.41,74.04,74.44
Kotawaringin Timur,68.61,69.42,70.17,70.56,71.16,71.31,71.38,71.67,72.21,72.66
Kuantan Singingi,68.32,68.66,69.53,69.96,70.78,70.31,70.6,71.09,71.67,72.33
Kubu Raya,65.02,65.54,66.31,67.23,67.76,67.95,68.16,68.91,69.6,70.25
Kudus,72.72,72.94,73.84,74.58,74.94,75.0,75.16,75.89,76.71,77.22
Kulon Progo,71.52,72.38,73.23,73.76,74.44,74.46,74.71,75.46,75.79,76.14
Kuningan,67.19,67.51,67.78,68.55,69.12,69.38,69.71,70.16,70.72,71.26
Kupang,62.04,62.39,62.79,63.55,64.43,64.32,64.41,65.04,65.82,66.57
Kutai Barat,69.34,69.99,70.18,70.69,71.63,71.19,72.07,72.92,73.72,74.5
Kutai Kartanegara,71.78,72.19,72.75,73.15,73.78,73.59,74.06,74.67,75.3,75.91
Kutai Timur,70.76,71.1,71.91,72.56,73.49,73.0,73.81,74.35,74.98,75.53
Labuhan Batu,70.23,70.5,71.0,71.39,71.94,72.01,72.09,72.92,73.69,74.18
Labuhan Batu Selatan,69.67,70.28,70.48,70.98,71.39,71.4,71.69,72.16,72.82,73.67
Labuhan Batu Utara,69.69,70.26,70.79,71.08,71.43,71.61,71.87,72.77,73.63,74.4
Lahat,65.25,65.75,66.38,66.99,67.62,67.44,67.58,68.4,69.1,69.77
Lamandau,68.3,68.54,69.17,69.7,70.51,70.51,70.58,71.11,71.81,72.25
Lamongan,69.84,70.34,71.11,71.97,72.57,72.58,73.12,74.02,74.53,75.13
Lampung Barat,64.54,65.45,66.06,66.74,67.5,67.8,67.9,68.39,69.11,69.84
Lampung Selatan,65.22,66.19,66.95,67.68,68.22,68.36,68.49,69.0,69.63,70.28
Lampung Tengah,67.61,68.33,68.95,69.73,70.04,70.16,70.23,70.8,71.6,72.37
Lampung Timur,67.1,67.88,68.05,69.04,69.34,69.37,69.66,70.58,71.21,71.84
Lampung Utara,65.2,65.95,66.58,67.17,67.63,67.67,67.89,68.33,68.95,69.62
Landak,64.12,64.58,64.93,65.45,65.96,65.98,66.21,67.17,68.14,69.08
Langkat,68.53,69.13,69.82,70.27,70.76,71.0,71.35,71.86,72.21,72.73
Lanny Jaya,44.18,45.16,46.49,47.34,48.0,47.86,48.68,49.62,50.56,51.59
Lebak,62.03,62.78,62.95,63.37,63.88,63.91,64.03,64.71,65.21,65.86
Lebong,64.72,65.58,65.87,66.28,66.84,67.01,67.46,68.12,68.71,69.27
Lembata,62.16,62.81,63.09,63.96,64.91,64.74,64.75,65.47,66.12,66.62
Lima Puluh Kota,67.65,68.37,68.69,69.17,69.67,69.47,69.68,70.28,70.7,71.14
Lingga,61.28,62.44,63.45,64.06,64.98,65.29,65.83,66.57,67.44,68.19
Lombok Barat,64.62,65.55,66.37,67.18,68.03,68.2,68.61,69.41,70.15,70.67
Lombok Tengah,62.74,63.22,64.36,65.36,66.36,66.43,66.72,67.57,68.4,69.17
Lombok Timur,62.83,63.7,64.37,65.35,66.23,66.3,66.66,67.59,68.41,69.23
Lombok Utara,61.15,62.24,63.04,63.83,64.49,64.42,64.77,65.7,66.62,67.24
Lumajang,63.02,63.74,64.23,64.83,65.33,65.46,66.07,66.95,67.87,68.8
Luwu,68.11,68.71,69.02,69.6,70.39,70.51,70.85,71.36,72.16,72.79
Luwu Timur,70.43,70.95,71.46,72.16,72.8,73.22,73.34,73.92,74.35,74.95
Luwu Utara,67.44,67.81,68.35,68.79,69.46,69.57,70.02,70.51,71.34,72.07
Madiun,69.39,69.67,70.27,71.01,71.69,71.73,71.88,72.39,72.97,73.74
Magelang,67.13,67.85,68.39,69.11,69.87,69.87,70.12,70.85,71.45,71.99
Magetan,71.39,71.94,72.6,72.91,73.49,73.92,74.15,74.85,75.41,75.87
Majalengka,64.75,65.25,65.92,66.72,67.52,67.59,67.81,68.56,69.13,69.74
Majene,64.4,64.8,65.4,66.01,66.59,66.91,67.29,67.84,68.62,69.42
Malaka,57.51,58.29,58.9,59.66,60.34,60.21,60.42,61.34,62.06,62.73
Malang,66.63,67.51,68.47,69.4,70.35,70.36,70.6,71.38,72.16,72.68
Malinau,70.15,70.71,71.23,71.74,72.06,71.94,72.32,72.75,73.19,73.9
Maluku Barat Daya,58.64,59.43,60.16,60.64,61.55,61.9,62.37,63.07,63.93,64.86
Maluku Tengah,68.85,69.54,70.09,70.6,71.25,71.25,71.32,71.81,72.45,73.21
Maluku Tenggara,63.35,64.2,64.94,65.53,65.85,66.2,66.33,66.88,67.57,68.24
Mamasa,63.17,63.51,63.92,64.66,65.32,66.02,66.63,67.21,67.83,68.37
Mamberamo Raya,48.29,49.0,50.25,51.24,52.2,51.78,52.18,53.1,54.08,55.0
Mamberamo Tengah,43.55,44.15,45.5,46.41,47.23,47.57,48.32,49.25,50.22,50.72
Mamuju,65.09,65.65,66.32,67.11,67.72,68.15,68.32,68.88,69.61,70.4
Mamuju Tengah,62.22,62.89,63.64,64.43,65.1,65.71,66.18,66.89,67.45,68.36
Mandailing Natal,63.99,64.55,65.13,65.83,66.52,66.79,67.19,68.05,68.56,69.33
Manggarai,60.87,61.67,62.24,63.32,64.15,64.54,65.01,65.83,66.42,67.28
Manggarai Barat,60.04,60.63,61.65,62.58,63.5,63.89,64.17,64.92,65.81,66.65
Manggarai Timur,56.83,57.5,58.51,59.49,60.47,60.85,61.37,62.3,63.24,64.2
Manokwari,69.91,70.34,70.67,71.17,71.67,72.01,72.02,72.6,73.21,73.83
Manokwari Selatan,56.59,57.12,58.08,58.84,59.72,59.84,59.85,60.68,61.55,62.45
Mappi,56.11,56.54,57.1,57.72,58.3,58.15,58.7,59.61,60.57,61.51
Maros,67.13,67.76,68.42,68.94,69.5,69.86,70.41,71.0,71.63,72.11
Maybrat,55.78,56.35,57.23,58.16,59.15,59.52,59.7,60.49,61.29,61.83
Melawi,63.78,64.25,64.43,65.05,65.54,65.55,65.87,66.81,67.76,68.66
Merangin,67.15,67.86,68.3,68.81,69.07,69.19,69.53,69.98,70.81,71.66
Merauke,67.75,68.09,68.64,69.38,69.98,70.09,70.49,71.24,72.19,72.73
Mesuji,59.79,60.72,61.87,62.88,63.52,63.63,64.04,64.94,65.64,66.46
Mimika,70.89,71.64,72.42,73.15,74.13,74.19,74.48,75.08,75.91,76.85
Minahasa,73.59,74.37,74.59,74.97,75.47,75.29,75.73,76.18,76.96,77.74
Minahasa Selatan,69.18,69.97,70.05,70.86,71.68,72.11,72.32,72.89,73.66,74.17
Minahasa Tenggara,68.05,68.42,68.91,69.66,70.47,70.51,71.06,71.48,71.93,72.66
Minahasa Utara,71.09,71.49,72.2,73.05,73.95,73.9,74.11,74.69,75.31,75.89
Mojokerto,70.85,71.38,72.36,72.64,73.53,73.83,74.15,74.89,75.53,75.98
Morowali,69.12,69.69,70.41,71.14,72.02,72.21,72.29,72.55,73.02,73.54
Morowali Utara,66.0,66.57,67.35,67.95,68.45,68.36,68.48,68.97,69.73,70.58
Muara Enim,65.82,66.71,67.63,68.28,68.88,68.74,68.86,69.43,70.24,71.0
Muaro Jambi,66.66,67.55,67.86,68.34,69.01,69.18,69.55,70.18,71.04,71.91
Mukomuko,65.77,66.52,67.07,67.47,68.12,68.45,68.64,69.12,69.97,70.63
Muna,65.99,66.96,67.61,68.47,68.97,69.02,69.17,69.61,70.16,71.05
Murung Raya,66.46,66.96,67.16,67.56,67.89,67.98,68.12,68.63,69.42,70.03
Musi Banyuasin,65.76,66.45,66.96,67.57,67.83,67.69,68.1,68.6,69.17,70.12
Musi Rawas,64.11,64.75,65.31,66.18,66.92,66.79,67.01,67.78,68.26,68.95
Musi Rawas Utara,62.32,63.05,63.18,63.75,64.32,64.49,64.93,65.74,66.6,67.4
Nabire,66.49,66.64,67.11,67.7,68.53,68.83,69.15,69.91,70.84,71.77
Nagan Raya,66.73,67.32,67.78,68.15,69.11,69.18,69.31,70.1,70.78,71.72
Nagekeo,63.33,63.93,64.74,65.35,65.88,65.81,65.82,66.22,67.07,67.72
Natuna,70.87,71.23,71.52,72.1,72.63,72.72,73.09,73.47,74.21,74.56
Nduga,25.47,26.56,27.87,29.42,30.75,31.55,32.84,34.1,35.19,36.3
Ngada,65.1,65.61,66.47,67.1,67.76,67.88,67.88,68.26,69.14,69.52
Nganjuk,69.9,70.5,70.69,71.23,71.71,71.72,71.97,72.93,73.71,74.23
Ngawi,68.32,68.96,69.27,69.91,70.41,70.54,71.04,71.75,72.47,73.09
Nias,58.85,59.75,60.21,60.82,61.65,61.93,62.74,63.69,64.56,65.55
Nias Barat,58.25,59.03,59.56,60.42,61.14,61.51,61.99,62.93,63.7,64.67
Nias Selatan,58.74,59.14,59.85,60.75,61.59,61.89,62.35,63.17,64.12,65.02
Nias Utara,59.88,60.23,60.57,61.08,61.98,62.36,62.82,63.75,64.64,65.62
Nunukan,63.35,64.35,65.1,65.67,66.32,65.79,66.46,67.16,67.7,68.52
Ogan Ilir,65.35,65.45,65.63,66.43,67.22,67.06,67.17,67.96,68.76,69.4
Ogan Komering Ilir,64.73,65.44,66.11,66.57,66.96,66.82,67.17,68.02,68.65,69.33
Ogan Komering Ulu,67.18,67.47,68.28,69.01,69.45,69.32,69.6,70.24,71.01,71.55
