kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024
Kota Jakarta Barat,408818.0,421968.0,443561.0,490331.0,517646.0,557803.0,570330.0,599514.0,657247.0,685071.0
Kota Jakarta Pusat,484526.0,503304.0,524750.0,580080.0,625177.0,672328.0,689379.0,733176.0,784679.0,818722.0
Kota Jakarta Selatan,567685.0,594380.0,620712.0,680167.0,729256.0,782731.0,792684.0,842630.0,891580.0,928278.0
Kota Jakarta Timur,412515.0,433405.0,455584.0,502152.0,539510.0,581954.0,594849.0,630842.0,669713.0,697472.0
Kota Jakarta Utara,423828.0,441617.0,463787.0,512689.0,549506.0,594240.0,609310.0,645431.0,684557.0,712835.0
Kota Jambi,372600.0,397088.0,413722.0,466854.0,488034.0,529090.0,563403.0,605556.0,667447.0,757014.0
Kota Jayapura,763326.0,805746.0,849496.0,944479.0,992610.0,1021759.0,1051297.0,1099019.0,1147265.0,1179015.0
Kota Kediri,386521.0,400096.0,420712.0,453807.0,471893.0,493438.0,506936.0,537326.0,587723.0,621051.0
Kota Kendari,270861.0,291069.0,301894.0,327976.0,350647.0,384379.0,423653.0,454846.0,503369.0,516809.0
Kota Kotamobagu,255330.0,274103.0,289077.0,298742.0,323292.0,343675.0,363777.0,385962.0,426174.0,452245.0
Kota Kupang,455924.0,482857.0,504179.0,518095.0,545219.0,587921.0,599880.0,648982.0,732921.0,761108.0
Kota Langsa,307260.0,323246.0,347056.0,371267.0,380906.0,407421.0,435438.0,469348.0,512319.0,546363.0
Kota Lhokseumawe,303155.0,319988.0,343558.0,367525.0,376832.0,401158.0,427045.0,460583.0,498431.0,522671.0
Kota Lubuklinggau,393365.0,417192.0,435956.0,470897.0,477756.0,495213.0,516763.0,541784.0,583867.0,598850.0
Kota Madiun,359771.0,376956.0,404959.0,446525.0,478304.0,497628.0,514409.0,551620.0,605131.0,637838.0
Kota Magelang,405228.0,425191.0,450908.0,476582.0,481282.0,522099.0,537783.0,575130.0,602794.0,626614.0
Kota Malang,411709.0,426527.0,454061.0,507114.0,543966.0,554791.0,570238.0,609612.0,674660.0,706341.0
Kota Manado,313597.0,334732.0,353018.0,364820.0,396196.0,424473.0,449679.0,475683.0,521012.0,540888.0
Kota Mataram,397468.0,414115.0,428754.0,457950.0,480304.0,499959.0,524762.0,562661.0,616536.0,657667.0
