kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Jayapura,9622.0,9653.0,10055.0,10160.0,10375.0,9898.0,9989.0,10230.0,10671.0,10848.0
Jayawijaya,7068.0,7282.0,7524.0,7637.0,7835.0,7441.0,7545.0,7765.0,8159.0,8534.0
Jember,8255.0,8409.0,8698.0,9090.0,9525.0,9294.0,9410.0,9840.0,10277.0,10700.0
Jembrana,11168.0,11343.0,11468.0,11666.0,11902.0,11790.0,11675.0,11915.0,12236.0,12638.0
Jeneponto,8489.0,8559.0,8747.0,8957.0,9078.0,9114.0,9215.0,9425.0,9781.0,10158.0
Jepara,9504.0,9695.0,9745.0,10169.0,10609.0,10343.0,10536.0,10913.0,11306.0,11729.0
Jombang,9963.0,10237.0,10560.0,10999.0,11533.0,11261.0,11394.0,11579.0,11999.0,12454.0
Kaimana,7341.0,7538.0,7752.0,8071.0,8304.0,8325.0,8151.0,8453.0,8749.0,9242.0
Kampar,10710.0,10765.0,10912.0,11128.0,11232.0,10796.0,10858.0,11394.0,11662.0,12034.0
Kapuas,9894.0,10287.0,10421.0,10738.0,11063.0,11015.0,11148.0,11377.0,11829.0,12265.0
Kapuas Hulu,6640.0,6691.0,6883.0,7074.0,7206.0,7162.0,7168.0,7668.0,8055.0,8470.0
Karanganyar,10486.0,10722.0,10933.0,11223.0,11569.0,11428.0,11509.0,11798.0,12260.0,12732.0
Karawang,10217.0,10379.0,10703.0,11277.0,11856.0,11315.0,11522.0,11927.0,12392.0,12942.0
Karimun,11248.0,11468.0,11713.0,11945.0,12136.0,11885.0,11879.0,12304.0,12756.0,13287.0
Karo,11800.0,11925.0,12059.0,12367.0,12474.0,12349.0,12412.0,12554.0,12779.0,13278.0
Katingan,9599.0,9969.0,10029.0,10327.0,10639.0,10548.0,10568.0,11036.0,11399.0,11691.0
Kaur,7599.0,7842.0,7914.0,8284.0,8594.0,8593.0,8638.0,9009.0,9365.0,9742.0
Kayong Utara,6950.0,7030.0,7434.0,7552.0,7905.0,7842.0,7920.0,8234.0,8594.0,9016.0
Kebumen,8008.0,8276.0,8446.0,8757.0,9066.0,8901.0,9028.0,9282.0,9734.0,10176.0
Kediri,9883.0,10140.0,10326.0,10853.0,11146.0,11000.0,11127.0,11565.0,11952.0,12388.0
Keerom,8609.0,8671.0,8824.0,8918.0,9136.0,8910.0,8926.0,9153.0,9545.0,9967.0
Kendal,10419.0,10631.0,10863.0,11257.0,11597.0,11425.0,11608.0,11999.0,12755.0,13277.0
Kepahiang,8605.0,8701.0,8866.0,9135.0,9243.0,9273.0,9377.0,9708.0,10044.0,10620.0
Kepulauan Anambas,11251.0,11320.0,11654.0,11894.0,12065.0,11875.0,11950.0,12137.0,12495.0,12983.0
