kabupaten_kota,ipm,garis_kemiskinan,pengeluaran_perkapita,tahun
Paniai,54.2,388098.0,6161.0,2015
Puncak Jaya,44.87,497583.0,4979.0,2015
Mimika,70.89,597620.0,10952.0,2015
Boven Digoel,59.02,379630.0,7717.0,2015
Mappi,56.11,260880.0,5780.0,2015
Asmat,46.62,299893.0,5533.0,2015
Yahukimo,46.63,303586.0,4109.0,2015
Pegunungan Bintang,40.91,405665.0,5176.0,2015
Tolikara,46.38,218759.0,4518.0,2015
Sarmi,60.99,377926.0,6379.0,2015
Keerom,63.43,460199.0,8609.0,2015
Waropen,62.35,536760.0,6070.0,2015
Supiori,60.09,381346.0,5180.0,2015
Mamberamo Raya,48.29,569859.0,4324.0,2015
Nduga,25.47,239201.0,3625.0,2015
Lanny Jaya,44.18,383166.0,3965.0,2015
Mamberamo Tengah,43.55,316341.0,4051.0,2015
Yalimo,44.32,270455.0,4321.0,2015
Puncak,39.41,517396.0,5118.0,2015
Dogiyai,52.78,385923.0,5120.0,2015
Intan Jaya,44.35,501749.0,5015.0,2015
Deiyai,48.28,483206.0,4320.0,2015
Kota Jayapura,78.05,763326.0,14249.0,2015
Simeulue,63.82,326563.0,6542.0,2016
Aceh Singkil,66.96,368968.0,8068.0,2016
Aceh Selatan,64.13,304466.0,7397.0,2016
Aceh Tenggara,67.48,221799.0,7212.0,2016
Aceh Timur,65.42,350186.0,7825.0,2016
Aceh Tengah,72.04,397859.0,9920.0,2016
Aceh Barat,69.26,441909.0,8559.0,2016
Aceh Besar,71.75,384545.0,8788.0,2016
Pidie,69.06,393370.0,9273.0,2016
Bireuen,70.21,317562.0,7885.0,2016
Aceh Utara,67.19,301733.0,7520.0,2016
Aceh Barat Daya,64.57,306930.0,7567.0,2016
Gayo Lues,64.26,301546.0,8048.0,2016
Aceh Tamiang,67.41,368691.0,7766.0,2016
Nagan Raya,67.32,374236.0,7460.0,2016
Aceh Jaya,67.7,331940.0,8796.0,2016
Bener Meriah,71.42,363796.0,10140.0,2016
Pidie Jaya,71.13,399377.0,9590.0,2016
Kota Banda Aceh,83.73,541732.0,15737.0,2016
Kota Sabang,73.36,492787.0,10507.0,2016
Kota Langsa,75.41,323246.0,11015.0,2016
Kota Lhokseumawe,75.78,319988.0,10549.0,2016
Kota Subulussalam,62.18,250408.0,6669.0,2016
Nias,59.75,330111.0,6409.0,2016
Mandailing Natal,64.55,304669.0,9237.0,2016
Tapanuli Selatan,68.04,326321.0,10821.0,2016
Tapanuli Tengah,67.27,353753.0,9694.0,2016
Tapanuli Utara,71.96,325606.0,11242.0,2016
Labuhan Batu,70.5,333144.0,10559.0,2016
Asahan,68.71,292030.0,10288.0,2016
Simalungun,71.48,315947.0,10855.0,2016
Dairi,69.61,293666.0,10190.0,2016
Karo,73.29,400261.0,11925.0,2016
Deli Serdang,73.51,347030.0,11683.0,2016
Langkat,69.13,348205.0,10567.0,2016
Nias Selatan,59.14,238119.0,6647.0,2016
Humbang Hasundutan,66.56,301663.0,7135.0,2016
Pakpak Bharat,65.81,248835.0,7641.0,2016
Samosir,68.82,271619.0,7813.0,2016
Serdang Bedagai,68.77,336478.0,10246.0,2016
Batu Bara,66.69,347533.0,9886.0,2016
Padang Lawas Utara,68.05,278290.0,9600.0,2016
Padang Lawas,66.23,268922.0,8094.0,2016
Labuhan Batu Selatan,70.28,330874.0,10712.0,2016
Labuhan Batu Utara,70.26,361017.0,11278.0,2016
Nias Utara,60.23,370371.0,5770.0,2016
Nias Barat,59.03,352570.0,5391.0,2016
Kota Sibolga,72.0,391681.0,11034.0,2016
Kota Tanjung Balai,67.09,345900.0,10577.0,2016
Kota Pematang Siantar,76.9,429365.0,11878.0,2016
Kota Tebing Tinggi,73.58,383650.0,11747.0,2016
Kota Medan,79.34,460685.0,14393.0,2016
Kota Binjai,74.11,343078.0,10342.0,2016
Kota Padangsidimpuan,73.42,326579.0,10198.0,2016
Kota Gunungsitoli,66.85,304727.0,6963.0,2016
